LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Income Score,Employment Score,"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score 
E01013887,Nottingham 001A,E06000018,Nottingham,11.637,22.766,22.14,23.041,19.906,2.05,9.272
E01013892,Nottingham 001B,E06000018,Nottingham,8.136,21.994,9.485,25.187,6.733,5.907,12.183
E01013893,Nottingham 001C,E06000018,Nottingham,57.762,40.952,42.685,39.364,72.93,36.061,13.271
E01013894,Nottingham 001D,E06000018,Nottingham,16.485,20.254,19.882,18.641,23.422,5.965,11.221
E01013879,Nottingham 002A,E06000018,Nottingham,80.259,77.228,94.26,53.669,28.953,27.546,27.371
E01013880,Nottingham 002B,E06000018,Nottingham,71.126,66.086,95.544,73.396,39.09,30.556,12.571
E01013881,Nottingham 002C,E06000018,Nottingham,68.265,64.836,87.71,56.852,36.574,19.354,20.436
E01013882,Nottingham 002D,E06000018,Nottingham,56.746,51.794,64.721,58.87,78.243,21.482,41.324
E01013885,Nottingham 002E,E06000018,Nottingham,61.69,62.482,63.928,42.894,95.81,21.909,35.401
E01013886,Nottingham 004A,E06000018,Nottingham,35.873,41.15,54.474,35.005,36.247,22.169,24.778
E01013888,Nottingham 004B,E06000018,Nottingham,28.117,33.536,31.971,33.164,72.345,11.084,42.001
E01013889,Nottingham 004C,E06000018,Nottingham,22.51,26.01,23.091,28.658,23.798,14.974,17.467
E01013890,Nottingham 004D,E06000018,Nottingham,16.328,18.753,20.315,17.112,28.046,3.371,51.755
E01013891,Nottingham 004E,E06000018,Nottingham,44.33,44.056,49.614,54.869,47.47,19.137,22.773
E01013875,Nottingham 005A,E06000018,Nottingham,10.566,11.35,17.633,12.513,4.129,27.197,19.929
E01013876,Nottingham 005B,E06000018,Nottingham,59.112,63.399,63.995,70.435,47.313,28.056,28.892
E01013877,Nottingham 005C,E06000018,Nottingham,94.177,93.322,97.81,74.693,71.171,40.634,18.458
E01013878,Nottingham 005D,E06000018,Nottingham,75.991,65.34,76.991,55.992,31.836,36.795,12.18
E01013883,Nottingham 005E,E06000018,Nottingham,50.898,50.177,66.098,40.217,34.346,64.468,10.243
E01013884,Nottingham 005F,E06000018,Nottingham,55.694,59.294,61.29,49.632,41.971,47.113,13.743
E01013853,Nottingham 006A,E06000018,Nottingham,36.84,45.725,40.329,47.421,34.479,10.488,23.184
E01013854,Nottingham 006B,E06000018,Nottingham,44.66,50.905,52.205,40.365,38.943,18.652,22.466
E01013855,Nottingham 006C,E06000018,Nottingham,76.913,55.057,76.582,51.893,24.051,27.844,16.028
E01013856,Nottingham 006D,E06000018,Nottingham,40.598,37.064,50.955,47.033,42.238,18.751,23.923
E01033397,Nottingham 006F,E06000018,Nottingham,43.267,30.832,36.812,30.8,38.733,15.667,23.919
E01033398,Nottingham 006G,E06000018,Nottingham,35.256,43.813,23.746,33.506,35.179,22.229,24.906
E01013963,Nottingham 007A,E06000018,Nottingham,45.554,47.678,54.719,46.076,37.61,21.904,22.134
E01013964,Nottingham 007B,E06000018,Nottingham,28.747,27.512,29.567,23.655,23.608,12.964,18.913
E01013965,Nottingham 007C,E06000018,Nottingham,41.567,40.221,29.391,45.039,27.969,17.343,26.388
E01013966,Nottingham 007D,E06000018,Nottingham,40.325,40.622,28.173,40.337,35.081,8.812,34.65
E01013967,Nottingham 007E,E06000018,Nottingham,19.738,26.681,18.719,53.175,14.84,15.581,23.637
E01013827,Nottingham 008A,E06000018,Nottingham,45.534,43.646,43.813,49.376,38.265,23.827,38.485
E01013828,Nottingham 008B,E06000018,Nottingham,32.259,27.172,35.027,27.4,53.719,18.916,47.921
E01013834,Nottingham 008C,E06000018,Nottingham,54.159,40.329,59.349,43.582,19.603,30.181,23.812
E01013835,Nottingham 008D,E06000018,Nottingham,44.655,44.372,37.367,43.767,31.805,26.025,15.59
E01013836,Nottingham 008E,E06000018,Nottingham,47.744,44.771,39.722,45.72,39.933,13.668,31.033
E01013829,Nottingham 009A,E06000018,Nottingham,34.346,34.469,30.134,42.76,61.24,12.679,24.397
E01013830,Nottingham 009B,E06000018,Nottingham,29.388,31.586,29.438,29.913,48.2,12.532,25.41
E01013831,Nottingham 009C,E06000018,Nottingham,12.526,16.247,22.954,19.49,24.558,29.756,16.482
E01013832,Nottingham 009D,E06000018,Nottingham,36.297,34.731,40.277,46.261,81.112,17.18,31.75
E01013833,Nottingham 009E,E06000018,Nottingham,60.175,47.661,47.96,48.815,79.457,19.196,34.211
E01013935,Nottingham 010A,E06000018,Nottingham,14.895,23.57,6.199,33.211,20.334,11.472,28.07
E01013968,Nottingham 010B,E06000018,Nottingham,19.582,18.357,2.969,28.256,23.071,5.448,25.871
E01013969,Nottingham 010C,E06000018,Nottingham,20.838,22.542,27.048,24.001,35.09,2.551,71.853
E01013970,Nottingham 010D,E06000018,Nottingham,19.91,15.759,4.119,24.475,12.339,1.764,51.025
E01013971,Nottingham 010E,E06000018,Nottingham,22.997,35.237,8.798,37.806,48.746,9.974,76.991
E01013817,Nottingham 011A,E06000018,Nottingham,94.219,73.029,92.115,66.209,88.217,42.636,30.26
E01013818,Nottingham 011B,E06000018,Nottingham,99.367,92.039,96.672,69.381,61.369,41.345,18.337
E01013822,Nottingham 011C,E06000018,Nottingham,85.135,74.48,87.337,54.385,87.092,30.837,16.997
E01013825,Nottingham 011D,E06000018,Nottingham,59.624,50.22,64.174,33.229,69.608,18.357,34.819
E01013826,Nottingham 011E,E06000018,Nottingham,90.932,68.741,95.238,51.41,75.379,45.414,24.656
E01013837,Nottingham 012A,E06000018,Nottingham,13.503,13.747,8.994,15.33,15.301,7.098,32.264
E01013838,Nottingham 012B,E06000018,Nottingham,13.423,13.93,12.604,14.086,29.605,23.01,28.362
E01013839,Nottingham 012C,E06000018,Nottingham,57.157,49.394,42.84,51.089,30.818,20.137,52.158
E01013840,Nottingham 012D,E06000018,Nottingham,15.938,14.406,8.011,15.795,42.225,12.419,26.959
E01013841,Nottingham 012E,E06000018,Nottingham,55.508,58.754,32.99,44.07,56.991,14.177,30.273
E01013819,Nottingham 013A,E06000018,Nottingham,57.066,61.559,61.751,56.119,72.571,31.29,28.697
E01013820,Nottingham 013B,E06000018,Nottingham,64.606,57.382,71.54,36.788,54.891,30.574,25.054
E01013821,Nottingham 013C,E06000018,Nottingham,77.73,55.416,73.906,43.79,63.021,29.176,29.703
E01013823,Nottingham 013D,E06000018,Nottingham,58.63,47.821,66.882,46.704,43.776,28.357,31.717
E01013824,Nottingham 013E,E06000018,Nottingham,74.34,60.48,67.786,42.139,33.32,27.482,33.094
E01013864,Nottingham 014A,E06000018,Nottingham,72.832,74.165,53.245,61.053,30.6,32.197,9.976
E01013865,Nottingham 014B,E06000018,Nottingham,55.765,64.548,53.449,54.929,46.568,14.851,22.567
E01013866,Nottingham 014C,E06000018,Nottingham,50.256,58.674,64.686,48.637,50.067,18.869,26.563
E01013867,Nottingham 014D,E06000018,Nottingham,60.615,51.474,72.75,57.711,32.055,23.127,23.497
E01013937,Nottingham 015A,E06000018,Nottingham,19.535,25.01,8.688,25.456,52.829,15.564,36.264
E01013938,Nottingham 015B,E06000018,Nottingham,11.123,11.506,2.813,13.076,59.431,13.413,61.944
E01013941,Nottingham 015C,E06000018,Nottingham,17.515,25.952,18.579,18.723,42.316,20.991,62.419
E01013943,Nottingham 015D,E06000018,Nottingham,33.892,32.099,38.548,50.318,78.493,35.195,59.339
E01013972,Nottingham 015E,E06000018,Nottingham,25.516,36.614,36.998,46.81,71.556,9.654,45.073
E01013936,Nottingham 016A,E06000018,Nottingham,25.744,25.978,14.985,27.876,38.485,33.536,22.309
E01013939,Nottingham 016B,E06000018,Nottingham,22.376,34.056,19.533,27.075,26.89,7.099,30.258
E01013940,Nottingham 016C,E06000018,Nottingham,56.705,51.559,50.25,61.701,32.886,57.132,23.678
E01013942,Nottingham 016D,E06000018,Nottingham,58.906,61.033,47.172,60.984,41.055,34.753,23.859
E01013843,Nottingham 017A,E06000018,Nottingham,31.137,30.447,15.393,61.58,40.024,18.568,49.632
E01013844,Nottingham 017B,E06000018,Nottingham,58.019,51.384,40.309,72.555,48.324,16.957,36.368
E01013845,Nottingham 017C,E06000018,Nottingham,46.625,43.285,69.073,30.333,31.388,22.386,49.614
E01013847,Nottingham 017D,E06000018,Nottingham,42.412,35.8,46.953,37.738,64.174,26.104,43.172
E01013810,Nottingham 018A,E06000018,Nottingham,55.772,53.512,60.006,52.96,62.037,27.307,44.941
E01013811,Nottingham 018B,E06000018,Nottingham,61.711,61.904,80.532,65.304,81.159,42.203,60.731
E01013812,Nottingham 018C,E06000018,Nottingham,70.084,61.499,62.692,52.603,89.032,32.414,44.655
E01013842,Nottingham 018D,E06000018,Nottingham,49.994,41.83,44.372,31.927,31.827,29.334,62.618
E01013846,Nottingham 018E,E06000018,Nottingham,36.597,34.113,54.385,54.944,76.086,29.819,87.804
E01013930,Nottingham 019A,E06000018,Nottingham,27.65,30.758,30.019,25.341,49.71,31.009,31.96
E01013931,Nottingham 019B,E06000018,Nottingham,18.202,18.569,14.965,16.533,33.355,24.812,22.982
E01013932,Nottingham 019C,E06000018,Nottingham,21.71,32.476,30.25,33.1,17.604,18.77,28.885
E01013933,Nottingham 019D,E06000018,Nottingham,44.306,38.681,46.04,36.536,26.547,30.908,34.165
E01013934,Nottingham 019E,E06000018,Nottingham,26.1,24.35,24.005,44.296,39.162,14.021,18.173
E01013859,Nottingham 020A,E06000018,Nottingham,50.061,66.631,47.799,86.401,25.765,19.273,22.102
E01013861,Nottingham 020B,E06000018,Nottingham,90.433,98.152,93.362,96.488,47.054,18.073,12.478
E01013868,Nottingham 020C,E06000018,Nottingham,75.916,79.392,78.451,59.058,60.413,24.443,25.659
E01013929,Nottingham 020D,E06000018,Nottingham,26.36,29.503,17.229,46.189,38.109,9.531,30.566
E01013954,Nottingham 021A,E06000018,Nottingham,70.303,71.68,56.958,63.215,52.815,16.321,43.757
E01013959,Nottingham 021B,E06000018,Nottingham,75.674,73.112,53.79,63.629,29.525,27.239,29.383
E01013960,Nottingham 021C,E06000018,Nottingham,76.932,80.902,71.171,64.129,31.916,33.164,31.242
E01013962,Nottingham 021D,E06000018,Nottingham,51.676,50.911,47.448,54.334,52.651,15.089,41.253
E01013813,Nottingham 022A,E06000018,Nottingham,28.557,25.177,77.428,49.698,82.319,58.727,24.697
E01013814,Nottingham 022B,E06000018,Nottingham,29.053,26.867,63.064,70.733,58.665,38.243,42.716
E01013815,Nottingham 022C,E06000018,Nottingham,23.074,25.054,42.13,87.337,95.589,42.676,55.27
E01013816,Nottingham 022D,E06000018,Nottingham,15.928,9.692,20.659,35.758,70.763,66.543,58.968
E01013958,Nottingham 023C,E06000018,Nottingham,81.42,63.552,47.535,58.427,52.596,40.289,32.256
E01013961,Nottingham 023D,E06000018,Nottingham,32.923,25.08,44.936,57.132,56.917,48.752,59.04
E01033399,Nottingham 023E,E06000018,Nottingham,23.43,22.205,65.281,56.166,61.21,86.729,46.636
E01033401,Nottingham 023F,E06000018,Nottingham,21.752,10.388,17.777,43.454,81.492,50.189,64.503
E01033405,Nottingham 023G,E06000018,Nottingham,29.161,29.284,24.974,80.832,78.874,62.671,99.947
E01033409,Nottingham 023H,E06000018,Nottingham,13.325,19.457,32.739,39.882,64.197,41.86,55.179
E01033411,Nottingham 023I,E06000018,Nottingham,85.962,80.395,67.932,78.036,70.943,60.175,43.509
E01013913,Nottingham 024A,E06000018,Nottingham,20.835,23.589,15.651,24.064,18.294,5.252,24.886
E01013914,Nottingham 024B,E06000018,Nottingham,15.499,23.203,18.811,21.158,13.487,6.094,22.287
E01013915,Nottingham 024C,E06000018,Nottingham,26.171,28.338,26.563,32.231,35.113,26.941,35.1
E01013916,Nottingham 024D,E06000018,Nottingham,50.25,53.541,41.038,56.422,28.851,18.677,31.477
E01013917,Nottingham 024E,E06000018,Nottingham,38.767,46.24,29.849,39.31,31.769,12.9,43.104
E01013858,Nottingham 025A,E06000018,Nottingham,40.936,46.271,62.294,35.039,27.444,18.708,24.53
E01013860,Nottingham 025B,E06000018,Nottingham,53.576,76.486,45.801,71.11,14.015,12.742,12.773
E01013862,Nottingham 025C,E06000018,Nottingham,65.139,70.303,61.771,69.353,27.339,35.478,15.138
E01013863,Nottingham 025D,E06000018,Nottingham,30.674,30.813,30.964,35.889,26.236,7.321,20.229
E01013944,Nottingham 026A,E06000018,Nottingham,21.786,25.015,38.54,24.568,52.644,26.554,60.251
E01013945,Nottingham 026B,E06000018,Nottingham,42.234,37.986,39.937,63.161,48.614,40.13,41.47
E01013947,Nottingham 026D,E06000018,Nottingham,37.276,34.294,41.454,75.342,41.084,32.55,58.019
E01013948,Nottingham 026E,E06000018,Nottingham,88.899,91.739,59.652,81.539,67.616,39.037,24.677
E01013953,Nottingham 026F,E06000018,Nottingham,1.045,0.079,16.116,20.406,17.018,32.06,36.439
E01033395,Nottingham 026G,E06000018,Nottingham,0.908,0.181,18.963,27.932,16.247,75.379,50.361
E01033396,Nottingham 026H,E06000018,Nottingham,49.897,52.836,32.71,65.269,53.238,34.046,24.749
E01013977,Nottingham 027A,E06000018,Nottingham,10.05,12.774,1.885,17.453,13.22,27.544,16.157
E01013978,Nottingham 027B,E06000018,Nottingham,13.687,10.81,6.317,17.712,13.399,23.937,20.569
E01013979,Nottingham 027C,E06000018,Nottingham,7.21,7.076,1.435,8.701,20.337,4.637,14.99
E01013981,Nottingham 027D,E06000018,Nottingham,4.257,5.646,0.942,6.812,9.223,15.087,13.854
E01032520,Nottingham 028E,E06000018,Nottingham,0.178,0.107,1.446,6.082,33.37,30.538,52.44
E01032522,Nottingham 028F,E06000018,Nottingham,0.318,0.301,0.905,3.709,26.416,70.733,91.889
E01033404,Nottingham 028G,E06000018,Nottingham,10.971,6.575,23.222,40.825,28.505,36.024,53.098
E01013918,Nottingham 029A,E06000018,Nottingham,48.071,44.887,34.566,43.619,17.234,11.586,59.55
E01013919,Nottingham 029B,E06000018,Nottingham,51.076,44.766,35.071,42.438,41.975,21.67,54.959
E01013920,Nottingham 029C,E06000018,Nottingham,54.115,60.828,38.838,70.524,25.605,19.444,32.816
E01013921,Nottingham 029D,E06000018,Nottingham,72.409,62.639,49.489,58.986,23.808,21.738,33.706
E01013957,Nottingham 029E,E06000018,Nottingham,46.385,47.705,38.051,43.697,54.371,16.208,33.691
E01013980,Nottingham 030A,E06000018,Nottingham,4.729,11.924,1.948,6.899,8.522,2.535,16.834
E01013982,Nottingham 030B,E06000018,Nottingham,2.859,4.832,0.463,4.958,24.423,5.648,17.959
E01013983,Nottingham 030C,E06000018,Nottingham,38.718,44.897,21.357,21.766,15.101,29.45,21.068
E01013984,Nottingham 030D,E06000018,Nottingham,2.153,4.078,0.773,7.212,10.158,8.704,10.481
E01013985,Nottingham 030E,E06000018,Nottingham,7.681,6.454,2.003,7.381,1.353,4.835,10.526
E01013924,Nottingham 031C,E06000018,Nottingham,26.607,20.262,50.269,75.991,29.738,36.358,54.334
E01013926,Nottingham 031E,E06000018,Nottingham,24.762,16.269,31.797,38.871,25.827,32.077,46.61
E01013928,Nottingham 031G,E06000018,Nottingham,7.455,2.921,17.98,36.358,8.45,26.861,39.242
E01033408,Nottingham 031H,E06000018,Nottingham,7.794,2.022,29.64,22.625,35.049,44.713,60.242
E01033410,Nottingham 031I,E06000018,Nottingham,1.055,0.157,12.923,17.47,16.767,35.863,26.633
E01013973,Nottingham 032A,E06000018,Nottingham,4.119,0.411,26.748,23.943,12.964,66.908,24.713
E01013974,Nottingham 032B,E06000018,Nottingham,16.6,14.891,18.747,43.836,23.18,36.375,53.59
E01013975,Nottingham 032C,E06000018,Nottingham,2.565,1.516,16.967,16.341,3.227,51.886,25.405
E01013976,Nottingham 032D,E06000018,Nottingham,40.554,27.565,44.334,24.58,55.555,27.862,32.161
E01013895,Nottingham 034A,E06000018,Nottingham,7.595,13.131,13.809,12.687,10.569,53.548,13.288
E01013896,Nottingham 034B,E06000018,Nottingham,52.651,56.422,59.624,61.359,30.17,17.77,18.259
E01013901,Nottingham 034C,E06000018,Nottingham,1.8,5.672,2.548,11.545,8.284,6.839,28.495
E01013902,Nottingham 034D,E06000018,Nottingham,5.987,8.833,7.69,15.034,6.538,30.335,27.43
E01013897,Nottingham 035A,E06000018,Nottingham,35.199,43.986,62.608,50.522,50.516,12.767,33.346
E01013898,Nottingham 035B,E06000018,Nottingham,19.53,8.734,44.444,35.935,20.946,31.39,17.976
E01013899,Nottingham 035C,E06000018,Nottingham,33.338,30.019,72.799,38.474,49.182,8.674,21.036
E01013900,Nottingham 035D,E06000018,Nottingham,34.562,40.744,56.664,50.535,43.874,29.708,18.193
E01013903,Nottingham 035E,E06000018,Nottingham,18.291,20.505,29.478,22.028,69.766,13.53,22.169
E01013907,Nottingham 035F,E06000018,Nottingham,38.6,42.694,66.568,46.137,38.21,17.758,21.729
E01013905,Nottingham 036A,E06000018,Nottingham,36.758,40.225,49.507,49.453,33.679,24.049,18.929
E01013908,Nottingham 036B,E06000018,Nottingham,41.042,46.61,76.524,40.602,11.56,43.417,15.252
E01013909,Nottingham 036C,E06000018,Nottingham,54.224,56.382,72.93,62.047,33.757,48.654,7.816
E01013912,Nottingham 036D,E06000018,Nottingham,13.544,19.857,32.225,26.268,57.933,14.887,17.89
E01013904,Nottingham 037A,E06000018,Nottingham,32.556,31.124,69.837,40.429,32.11,16.682,23.391
E01013906,Nottingham 037B,E06000018,Nottingham,37.593,39.188,52.407,42.885,26.251,16.413,20.336
E01013910,Nottingham 037C,E06000018,Nottingham,42.509,38.744,54.801,53.147,39.699,23.641,28.873
E01013911,Nottingham 037D,E06000018,Nottingham,32.753,36.011,53.569,43.335,19.803,24.741,22.395
E01013849,Nottingham 038A,E06000018,Nottingham,62.139,53.977,72.137,63.172,65.175,47.151,15.857
E01013850,Nottingham 038B,E06000018,Nottingham,43.29,65.77,62.65,63.486,41.881,14.878,21.524
E01013851,Nottingham 038C,E06000018,Nottingham,80.786,72.281,65.175,65.116,56.119,43.276,10.123
E01013852,Nottingham 038D,E06000018,Nottingham,42.733,53.336,43.943,46.932,17.783,15.465,18.697
E01032621,Nottingham 038E,E06000018,Nottingham,36.398,51.184,48.557,52.218,18.866,12.677,18.946
E01013874,Nottingham 039A,E06000018,Nottingham,24.419,21.091,25.458,32.158,40.768,8.379,57.626
E01033400,Nottingham 039B,E06000018,Nottingham,38.015,33.473,37.314,36.977,55.905,50.823,52.407
E01033402,Nottingham 039C,E06000018,Nottingham,13.293,15.071,19.242,66.246,6.63,52.285,94.012
E01033403,Nottingham 039D,E06000018,Nottingham,13.089,11.295,4.911,39.245,67.498,53.64,79.045
E01033406,Nottingham 039E,E06000018,Nottingham,0.259,0.098,1.934,30.004,89.945,56.893,92.536
E01033407,Nottingham 039F,E06000018,Nottingham,8.529,3.197,7.712,37.36,82.393,45.315,96.719
E01013870,Nottingham 040A,E06000018,Nottingham,47.21,38.199,32.9,53.47,9.349,34.037,25.445
E01013871,Nottingham 040B,E06000018,Nottingham,68.105,66.196,52.447,60.119,54.496,29.309,21.503
E01013872,Nottingham 040C,E06000018,Nottingham,39.264,34.825,37.29,43.24,34.214,26.697,26.139
E01013873,Nottingham 040D,E06000018,Nottingham,38.026,26.934,38.163,36.067,16.39,22.578,39.645